type,name,provider,doctor,availability,description,pinned,priceNote
"Package","Comprehensive Diagnostic Package","Prime Medical Laboratory","","Mon-Sat 7:00 AM - 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM - 11:30 AM","Covers Hypertension, Diabetes, Kidney, Liver, Heart, Blood Disease and Urinary Tract System disease screening. Features: CBC; Urinalysis; Fasting Blood Sugar (FBS); HbA1c; Creatinine; Uric Acid; SGPT; ECG; Lipid Profile (TC, TG, HDL, LDL, VLDL); Cardiac Risk Assessment; Diabetes Risk Assessment; Diabetic Foot Exam","",""
"Package","Animal Bite Treatment Package","Prime Medical Laboratory","","Mon-Sat 7:00 AM - 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM - 11:30 AM","Evaluation and treatment of animal-bite cases by accredited staff. Includes assessment, wound care, vaccination planning and monitoring. Final management depends on exposure category and physician evaluation. Features: Rabies Vaccine; Rabies Immune Globulin (ERIG); Local Wound Care; Tetanus Toxoid and Anti-Tetanus Serum; Antibiotics (if needed)","","Prices may vary depending on vaccine/ERIG need, wound severity and PhilHealth coverage. Contact the clinic for an exact quote."
"Package","Pre-Employment Package A","Prime Medical Laboratory","","Mon-Sat 7:00 AM - 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM - 11:30 AM","CBC, Urinalysis, Chest X-ray. With FREE Physical Exam and Medical Certificate (Fit to Work).","",""
"Package","Pre-Employment Package B","Prime Medical Laboratory","","Mon-Sat 7:00 AM - 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM - 11:30 AM","CBC, Urinalysis, Chest X-ray, Drug Test. With FREE Physical Exam and Medical Certificate (Fit to Work).","",""
"Package","Pre-Employment Package C","Prime Medical Laboratory","","Mon-Sat 7:00 AM - 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM - 11:30 AM","CBC, Urinalysis, Chest X-ray, Drug Test, Fecalysis. With FREE Physical Exam and Medical Certificate (Fit to Work).","",""
"Package","Pre-Employment Package D","Prime Medical Laboratory","","Mon-Sat 7:00 AM - 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM - 11:30 AM","CBC, Urinalysis, Chest X-ray, Drug Test, Fecalysis, HBsAg. With FREE Physical Exam and Medical Certificate.","",""
"Package","Pre-Employment Package E","Prime Medical Laboratory","","Mon-Sat 7:00 AM - 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM - 11:30 AM","CBC, Urinalysis, Chest X-ray, Drug Test, Fecalysis, Anti-HAV (IgM). With FREE Physical Exam and Medical Certificate.","",""
