SERVICE_PACKGE_ID,NAME,DESC,FEATURES,SPECIAL_INSTRUCTION,AVAILABILITY,SLOT,DUR_MINUTE,PRICE_NOTE (If no price),BOOKING_ENABLED(Yes/No),ORIGINAL_RPICE,DISCOUNTED_PRICE,PHIL_HEALTH_PROMO_PRICE,IS_ACTIVE(Yes/No),CREATED_AT,UPDATED_AT,ARCHIVED_AT
SP-1,Comprehensive Diagnostic Package,"Covers Hypertension, Diabetes, Kidney, Liver, Heart, Blood Disease and Urinary Tract System disease screening.","CBC • Urinalysis • Fasting Blood Sugar (FBS) • HbA1c • Creatinine • Uric Acid • SGPT • ECG • Lipid Profile (TC, TG, HDL, LDL, VLDL) • Cardiac Risk Assessment • Diabetes Risk Assessment • Diabetic Foot Exam",,REGULAR,1,180,,Yes,3185,2599,899,Yes,,,
SP-2,Animal Bite Treatment Package,"Evaluation and treatment of animal‑bite cases by accredited staff. Includes assessment, wound care, vaccination planning and monitoring. Final management depends on exposure category and physician evaluation.",Rabies Vaccine • Rabies Immune Globulin (ERIG) • Local Wound Care • Tetanus Toxoid and Anti‑Tetanus Serum • Antibiotics (if needed),,REGULAR,1,60,"Prices may vary depending on vaccine/ERIG need, wound severity and PhilHealth coverage. Contact the clinic for an exact quote.",Yes,,, ,Yes,,,
 SP-3,Pre‑Employment Package A,With FREE Physical Exam and Medical Certificate (Fit to Work).,CBC • Urinalysis • Chest X‑ray,,REGULAR,1, ,,Yes,,599,,Yes,,,
 SP-4,Pre‑Employment Package B,With FREE Physical Exam and Medical Certificate (Fit to Work).,CBC • Urinalysis • Chest X‑ray • Drug Test,,REGULAR,2, ,,Yes,,899,,Yes,,,
SP-5 ,Pre‑Employment Package C,With FREE Physical Exam and Medical Certificate (Fit to Work).,CBC • Urinalysis • Chest X‑ray • Drug Test • Fecalysis,,REGULAR,1, ,,yes,,999,,Yes,,,
SP-6,Pre‑Employment Package D,With FREE Physical Exam and Medical Certificate.,CBC • Urinalysis • Chest X‑ray • Drug Test • Fecalysis • HBsAg,,REGULAR,1, ,,Yes,,1199,,Yes,,,
SP-7,Pre‑Employment Package E,With FREE Physical Exam and Medical Certificate.,CBC • Urinalysis • Chest X‑ray • Drug Test • Fecalysis • Anti‑HAV (IgM),,REGULAR,1, ,,Yes,,1250,,Yes,,,
SP-8,PhilHealth Konsulta (Assistance),"Assistance worth PHP 1,700 each (Member, Dependent, Senior). Dependent on physician request; selected labs and procedures covered.","13 Laboratory Tests (Blood Chemistry) • CBC with Platelet Count • Lipid Profile • Fasting Blood Sugar (FBS) • Oral Glucose Tolerance Test (OGTT) • HbA1c • Creatinine • Urinalysis / Fecalysis / Fecal Occult Blood Test • Chest X-ray • 12-lead ECG • Ultrasound (Abdomen, Pelvic, Breast) • Pap Smear • Selected Medicines (21 items)",,REGULAR,2,,,Yes,,,1700,Yes,,,
SP-9,Free Anti-Rabies Vaccine,"Free anti-rabies vaccination for eligible animal-bite patients during designated clinic days. Slots are limited and strictly first-come, first-served.",,"First-come, First-served (30 slots) • If bitten Sun → Come Mon • If bitten Tue → Come Wed • If bitten Fri → Come Sat • Eligibility: Libreng Anti-Rabies Package","Available Mon, Wed, Thu, Sat • Clinic Hours 8:00 AM – 4:00 PM (Last Call 3:30 PM) ",5,,,Yes,,FREE,,Yes,,,
