APPT_ID(PK),TYPE (PACKAGE/SINGLE-SERVICE),NAME,STAFF,AVAILABILITY,DESC,FEATURES,DURATION(Derived from DUR_MINUTE),DUR_MINUTE,PINNED(Yes/No),PRICE_NOTE (If no price),BOOKING_ENABLED(Yes/No),ORIGINAL_RPICE,DISCOUNTED_PRICE,PHIL_HEALTH_PROMO_PRICE,IS_ACTIVE(Yes/No),CREATED_AT,UPDATED_AT,ARCHIVED_AT
 ,package,Comprehensive Diagnostic Package,,Mon–Sat 7:00 AM – 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM – 11:30 AM,"Covers Hypertension, Diabetes, Kidney, Liver, Heart, Blood Disease and Urinary Tract System disease screening.","CBC • Urinalysis • Fasting Blood Sugar (FBS) • HbA1c • Creatinine • Uric Acid • SGPT • ECG • Lipid Profile (TC, TG, HDL, LDL, VLDL) • Cardiac Risk Assessment • Diabetes Risk Assessment • Diabetic Foot Exam",3:00Hours,180,No,,Yes,3185,2599,899,Yes,,,
 ,package,Animal Bite Treatment Package,,Mon–Sat 7:00 AM – 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM – 11:30 AM,"Evaluation and treatment of animal‑bite cases by accredited staff. Includes assessment, wound care, vaccination planning and monitoring. Final management depends on exposure category and physician evaluation.",Rabies Vaccine • Rabies Immune Globulin (ERIG) • Local Wound Care • Tetanus Toxoid and Anti‑Tetanus Serum • Antibiotics (if needed),1:00Hour,60,Yes,"Prices may vary depending on vaccine/ERIG need, wound severity and PhilHealth coverage. Contact the clinic for an exact quote.",Yes,,, ,Yes,,,
 ,package,Pre‑Employment Package A,,Mon–Sat 7:00 AM – 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM – 11:30 AM,With FREE Physical Exam and Medical Certificate (Fit to Work).,CBC • Urinalysis • Chest X‑ray,, ,No,,Yes,,599,,Yes,,,
 ,package,Pre‑Employment Package B,,Mon–Sat 7:00 AM – 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM – 11:30 AM,With FREE Physical Exam and Medical Certificate (Fit to Work).,CBC • Urinalysis • Chest X‑ray • Drug Test,, ,No,,Yes,,899,,Yes,,,
 ,package,Pre‑Employment Package C,,Mon–Sat 7:00 AM – 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM – 11:30 AM,With FREE Physical Exam and Medical Certificate (Fit to Work).,CBC • Urinalysis • Chest X‑ray • Drug Test • Fecalysis,, ,No,,Yes,,999,,Yes,,,
 ,package,Pre‑Employment Package D,,Mon–Sat 7:00 AM – 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM – 11:30 AM,With FREE Physical Exam and Medical Certificate.,CBC • Urinalysis • Chest X‑ray • Drug Test • Fecalysis • HBsAg,, ,No,,Yes,,1199,,Yes,,,
 ,package,Pre‑Employment Package E,,Mon–Sat 7:00 AM – 4:00 PM (Cutoff 3:30 PM) | Sun 7:30 AM – 11:30 AM,With FREE Physical Exam and Medical Certificate.,CBC • Urinalysis • Chest X‑ray • Drug Test • Fecalysis • Anti‑HAV (IgM),, ,No,,Yes,,1250,,Yes,,,
